,부서,사업명,제안취지,사업내용
393,수변공간개발과,용두교 근처 화장실 설치, ,"용두교 근처엔 화장실이 너무 멀어서 많은 사람들이 운동하다 매우 급한 상황이 발생할 때가 있어 불편을 겪고 있습니다.<br>주민들이 매일 운동(걷기)을 하러 다니면서 불편을 많이 느끼고 있으니, 불편 사항을 시정 채택해 주시기 바랍니다.<br>주민의 건강 증진을 위해 코로나 시대에 다른 곳은 갈 수 없지만 신천은 마음 놓고 운동할 수 있도록 화장실을 용두교 쪽에 꼭 설치해 주시길 바랍니다."
394,보건의료정책과,고산골 공룡공원 및 신천공원 자동심장충격기(AED) 설치, ,최근에 다양한 연령대에서 각종 심혈관 질환을 비롯한 심박동 저하로 공원과 하천변 산책로 등에서 운동 및 산책 중 갑작스러운 심정지 환자가 수시로 발생하고 있음. <br>현행 규정상 공원과 하천변 산책로 등 야외에는 자동심장충격기(AED)의 의무설치 대상지역에 포함되지 않아 신속한 응급처치에 대한 대응책 마련이 필요함.<br>따라서 앞산 고산골 공룡공원 및 신천 산책로 등에 태양열을 활용한 야외용 자동심장충격기(AED)설치가 필요하다고 생각함.
395,농산유통과,신천 애완견 미용사업소, ,"애완견 천만 시대에 대구 남구 강변 주변에는 수많은 시민들이 애완견과 함께 강변을 거닐면서 운동을 하고 힐링을 하며, 같이 나온 애완견과 서로 친구가 되어 가고 있다.<br><br>신천 강변 빈터에 애완견 샵을 운영하여 애완견 미용과 각종 애완견 물품을 판매하는 컨테이너 샵을 운영한다면 대구 남구의 애완견을 사랑하는 명실상부한 행정기관이 되고 대구 남구를 더욱더 널리 알릴수 있는 계기가 마련 될 것으로 기대한다."
396,,신천둔치 피크닉 휴게시설 마련, ,신천강변둔치 인근 잔디공원에 캠핑파라솔 같은 휴게시설물을 설치하여 가족·친구 단위로 이용할 수 있는 피크닉스팟을 만들어 주민편의를 제공하고 대구의 특색있는 관광장소로 발돋움시킴.
397,문화콘텐츠과,신천 남구 유등축제, ,1. 대구 남구 지역적 상징<br>2. 대구 남구 역사적 상징<br>3. 대구 남구 명물<br>4. 대구 남구 인물<br><br>위의 표현을 유등으로 만들어서 신천 강변 물에 띄워서 밤에 불을 밝힌다.<br>신천 강변 물에 띄우지 못하면 강변에 설치하여 밤에 불을 밝힌다.<br>시민들이 신천 강변 저녁이나 밤에 와서 아름다운 유등을 보면서 힐링을 하고 대구 남구가 명실상부한 대구의 가장 자연친화적인 살기 좋은 역동적인 남구를 널리 홍보 한다.
398,자치행정과,신천 꽃길 조성, ,희망교 ~ 중동교 일원 신천 둔치에는 쉴 수 있는 벤치가 많이 없네요. 남녀노소 신천에서 운동도하고 쉬면서 담소도 나눌 수 있는 벤치를 꼭 설치해 주셨으면 좋겠습니다.
399,수변공간개발과,"깨끗한 신천, 건강한 우리", ,"1. 코로나로 인해 단체 모임이나 실내 체육시설이용이 어렵고, 행사 등이 어렵고 걷기에 최적화된 신천이 있으나 쓰레기 문제 등 고질적인 문제가 있음.<br>2. 시민들이 걸으면서 쓰레기도 줍는 플로깅을 독려하여 쓰레기봉투나 재활용가능한 물품을 증정하여 운동과 쓰레기줍기 운동 독려에 적절해보임.(플로깅이란 건강과 환경을 함께 지키기 위하여, 조깅을 하며 쓰레기를 줍는 행동을 가리키는 용어. 스웨덴어의 '플로카 업(plocka upp; 줍다)'과 '조가(jogga; 조깅하다)'를 합성하여 만든 '플로가(plogga)'라는 용어의 명사형으로, '쓰레기를 주으며 조깅하기'라는 뜻)"
400,미래형자동차과,신천3동 전기차 급속 충전소 설치, ,신천3동 근처에 각종 센터 및 회사가 많으므로 급속 충전소 1곳 설치 요청
401,자치행정과,신천 강변 꽃정원 조성, ,많은 시민들의 휴식처인 신천 강변에 꽃길을 조성하여 (예시:울산 태화강 국가정원) 주민들이 자부심을 가지고 아름다운 환경에서 거주할 수 있도록 <br>사업을 요청함
402,미래형자동차과,신천1.2동 행정복지센터 전기차 충전기 도입, ,- 신천1.2동 행정복지센터 주차시설은 있으나 대구시에서 추진하는 환경친화 정책의 일환인 전기차와 관련한 전용 충전설비가 없음<br>- 전기차 충전시설 도입을 통해 내방객에게 보다 환경적인 서비스를 제공하고자 함
403,도로과,신천동료변 도로 중앙선 재도색 사업, ,- 신천동로변 도로(신천LH 아파트 옆-신천치안센터) 중앙선 도색이 바라 잘 보이지 않아 재도색 사업을 통해 운전자 시야확보에 도움을 주고자 함
404,도로과,신천치안센터 옆 오르막길 미끄럼방지 포장사업, ,- 신천치안센터 옆 오르막길 경사로에 미끄럼방지 포장을 통해 강설 혹은 우천 시 발생할 교통사고 위험으로부터 주민의 신체·재산을 보호하고자 함
405,안전정책관,신천1.2동 행정복지센터 앞 안심무인택배함 설치, ,- 신천1.2동 행정복지센터 앞 무인택배함을 설치하여 범죄노출이 우려되는 1인가구 등의 주민들이 안심하고 택배를 수령할 수 있는 환경 조성
406,버스운영과,신천1.2동 행정복지센터 앞 버스정류장 설치 사업, ,- 신천1.2동 행정복지센터 앞 버스정류장 추가 설치를 통해 노약자 등 보행에 불편이 있는 민원인의 편의 도모
407,자치행정과,신천등지 무인 자전거 보장구 대여 사업, ,자전거를 타는 신천 이용객들의 안전을 위해 자전거 헬맷  등 보장구를 대여하는 무인기계를 설치해서 안전하게 신천을 이용할 수 있도록 요청함
408,자치행정과,신천 전동 휠체어 충전소 구축, ,장애인 및 어르신들의 산책로 이용시 편의 제공을 위해 충전소 설치를 설치해서 장애인 및 어르신 등 사회적 약자를 위한 편의를 제공하도록 사업 요청함
409,산림녹지과,신천 소재 교량 교각 벽면조경 설치, ,"(문제점)<br>- 신천에는 수성교, 대봉교 등 교량이 10여개가 넘게 설치되어 있음.<br>- 교량 상단에는 꽃바구니 등 조경이 설치되어 오가는 시민들에게 볼거리를 제공하고 있음.<br>- 많은 시민들이 운동하는 둔치에서 바라보는 교각은 일부교각에 그림이 그려져 있을 뿐 회색공간이 노출되어 있음.<br>- 한여름의 경우 그늘이라 휴식을 취할 수 있으나 볼거리가 없음.<br><br>(개선방안)<br>- 각 교량 교각에 벽면조경을 설치하도록 함.<br>- 전체 교량에 설치하도록 하되 우선 규모가 큰 상동교, 중동교, 수성교, 대봉교에 시범설치 <br>- 더 시원하고 녹색의 쉼이 있는 신천둔치가 되게 하는 것임. <br><br><br># 소요사업비는 개소당 3천만원정도로 추산하였음."
410,,스마트 버스정류장 설치, ,"신천시장 버스정류소에 온열의자, 와이파이, 송풍기, 미세먼지 차단기 설치 요청합니다."
411,,신천 교량 교각에 벽면조경 설치, ,"<문제점><br>- 대구의 젖줄인 신천에는 대표적으로 수성교, 대봉교, 중동교 등 10여개 넘는 교량이 있음.<br>- 상단에는 화분 등이 설치되어 오가는 시민들이 사계절 꽃을 볼 수 있음.<br>- 하단 교각에는 벽화가 그려져 있거나 거리표시만 되어 있고 회색면이 그대로 돌출되어 있는 실정임. <br>- 운동하는 많은 시민들이 한여름에는 그늘로 이용하고 있으므로 보다 차원높은 휴식공간이 필요함.<br><br><개선방안><br>- 오가거나 휴식시 편안하고 휴식을 취할 수 있는 공간필요.<br>- 교각아래 회색공간에 신천과 어울리는 '벽면 조경'의 설치가 필요. <br>- 전체 교량에 필요하나 우선 규모가 큰 상동교, 중동교, 수성교, 대봉교를 시법적으로 설치하였으면 함.<br><br># 공간에 따른 조경설계 등 경비 산출을 개소당 3천만원으로 하였음."
412,자연재난과,신천역 4번출구 스마트 그늘막 설치, ,- 신천역 횡단보도 인근 그늘막을 설치하여 여름철 더위로부터 어린이 등 보행약자를 보호하고자 함
413,교통정책과,신천역 자전거거치대 태양광 공기주입기 설치 사업, ,이용객이 많은 신천역 인근 자전거 거치대에 태양광 공기주입기를 설치하여 보다 편리한 보행환경을 구민에게 제공하고자 함
414,교통정책과,신천네거리 스마트횡단보도 설치 사업, ,"송라시장, 신천역 등 유동인구가 많은 신천네거리에 스마트 횡단보도를 설치하여 스마트폰을 보며 걷는 보행자들을 교통사고의 위험으로부터 보호하고자 함"
415,자치행정과,성북로15길 신천변 옹벽을 깨끗히 청소해주세요, ,침산3동 성북로 15길 일대 신천변쪽 옹벽이 오래된 찌든 먼지 등으로 너무 지저분해서 미관상 보기가 안좋아요<br>더러운 옹벽을 청소하고 깨끗하게 새로 도색해서  쾌적한 동네환경을 만들어 주세요
416,,학생들을 위한 스마트 안심 버스 승강장 설치, ,- 신천3치안센터건너 버스승강장에 스마트 안심 승강장을 설치하여 인근 초등학교 및 고등학교 학생들과 주민들이 안심하고 귀가할 수 있는 환경을 조성하고자 함
417,철도시설과,신천역 환경개선 사업, ,- 신천과 인접한 지하철역인 신천역 출구 상단에 신천의 명물인 도달수 캐릭터 구조물을 설치하여 관광자원 및 브랜드화<br>- 신천의 유래 및 도달수 캐릭터 홍보 및 사진명소화<br>- 지하철역 출구의 백색소음 피아노계단을 설치하여 주민과 이용객의 걷기 운동의 즐거움을 느끼게하여 운동의 생활화와 대중교통 이용 유도
418,수변공간개발과,신천 술래잡이 놀이터 바닥 보수, ,문제점 <br> 몇 년 전 조성된 신천 술래잡이 놀이터 바닥이 훼손되어 이용에 불편함<br>수리하여 아이들이 안전하게 뛰어 놀 수 있는 장소가 되면 좋겠음
419,자치행정과,상동교 밑 운동기구 등 편의시설 설치 요청, ,"상동교 아래 신천변 진입 전 공간에 체육시설이 있습니다.<br>예전에는 지저분해서 이용자가 적었으나, <br>동에서 화단을 설치해 환경이 좋아져 많은 주민들이 이용하고 있습니다.<br>운동기구가 몇점 있는데 좀 더 많은 운동기구가 있었으면 합니다. <br>운동기구을 몇점 추가해 주시고, 이 공간에 벤치도 추가 설치를 건의합니다."
420,수변공간개발과,신천둔치 파크골프장 설치, ,"대봉교 인근에 게이트볼 코트가 있으나 이용 인원이 한정적이고 요즘 시민들의 골프에 대한 관심과 인기가 많고, 노령인구 증가에 따른 노년층의 친목도모 및 건강증진에 기여를 위해 신천종합 생활체육광장 인근 및 희망교 ~ 중동교 인근 신천둔치에  설치해주시면 좋겠습니다."
421,자치행정과,익스트림 파크 설치, ,"올림픽 등 정식종목으로 청소년들의 건전한 여가활동에 적합한 익스트림 스포츠(스케이트 보드 등)를 즐길 공간이 수성구에 없음.<br><br>신천변 유휴 공간을 활용하여 익스트림 파크를 설치한다면, 청소년 건강증진, 동호인 수요충족 뿐만 아니라 각종 대회 및 행사 유치를 통해 <br><br>지역 관광 발전에도 도움이 될 것으로 보임."
422,자치행정과,대구은행 부근 스마트 그늘막 설치, ,대구은행을 이용하는 구민 및 노령층이 많으므로 대구은행 신천동 지점 맞은편에 스마트 그늘막을 설치하여 주실 것을 요청함.
423,산림녹지과,동부로15길 산책로 주변 조명등 설치, ,신천3동 공동주택 입주 등으로 동부로15길 철로변 일대 산책로 이용이 많아질 것으로 예상이 되는데 산책로 주변이 너무 어두워 주민들이 저녁에 이용하기에 한계가 있으므로 공원등(조명등)을 설치한다면 주민들의 이용이 증가할 것으로 예상이 됨.
424,산림녹지과,동부로15길 산책로 주변 운동기구 추가 설치, ,신천3동 공동주택 입주 등으로 동부로15길 철로변 일대 산책로 이용이 많아질 것으로 예상이 되는데 기존에 설치되어 있는 운동기구에 추가적으로 2~3개의 운동기구 설치를 요청함.
425,수변공간개발과,금호강변 개발, ,가천동 가천잠수교 인근 금호강변은 주말이면 사람들이 자전거를 타고 많이 이동하고 산책하는 사람들도 많습니다.<br><br>신천이나 매호천처럼 가천잠수교 인근 금호강변도 맞은편 율하공원과 연계해서 시민들이 휴식을 취할 수 있는 공간으로 재조성해주세요
426,수변공간개발과,수성교 근처 짚라인 설치, ,현재 신천에 짚라인이 한군데 설치되어 있어서 가끔 놀러가 아이들이 엄청 재미있게 놉니다.. 그런데 걸어가기에 좀 멀어요ㅋ<br>수성교 근처에도 하나 더 만들어 주시면 김광석길과 연계해서 좋은 놀거리가 될것 같습니다<br>그리고 바닥 모래가 있는김에 근처에 모래놀이터도 같이 있으면 좋겠습니다..  엄밀히 말해 모래가 아니라 진흙으로..  바로옆에 수돗가도 같이 설치해서 진흙을 물에개서 두꺼비집도 만들고 모래성도 쌓고하면 좋겠네요..대구는 바다도 없고 강도 다가갈수 없는 구조라 아이들이 모래를 만질 기회가 없네요ㅜㅜ
427,산림녹지과,신천역~ 청구네거리 지점 나무밑 화단 설치, ,수성구 범어동처럼 나무 밑에 화단을 설치하여 화사한 도시분위기를 조성.
428,도로과,신천3동~신암3동 철로 육교 낡은 계단 도색, ,낡고 오래된 육교를 대구시 특색에 맞게 화사한 분위기를 연출하여 <br>도시 미관을 획기적으로 개선할 수 있음.(첨부파일 참조)
429,교통정책과,신천동로변 속도저감시설 설치 사업, ,"신천동로변 도로(국채보상로155길 선) 속도저감시설 설치 사업<br>- 신천동로변 양방향 차량통행<br>- 주·야간통행량이 많은 반면 인도구간이 짧은 관계로 교통사고 위험 우려됨<br>- 블록포장, 지그재그 차선 도색 혹은 보호도색, 고정형 무인과속단속장비 등 속도저감시설을 설치하여 주민의 안전을 도모하고자 함"
430,도로과,노후 태양광 보안등 교체·보수 사업, ,신천1.2동 관내 노후화된 태양광 보안등 정비<br>- 전기시설을 정비하여 안전사고 발생 방지<br>- 야간통행 교통사고 방지<br> ※ 2017년 (사)대구동구자원봉사센터 설치
431,도로과,신천가람타운 주변 보도블럭 교체, ,"- 위치 : 신천가람타운 102동 옆라인 소방도로 및 109동 앞 보도블록 교체<br>- 내용 : 보도블럭 노후화로 인해 넘어지는 사고가 발생 위험이 있고, 비가 올 시 물이 올라올 수 있음.<br>- 개선방안 : 보도블럭 교체로 사고 예방"
432,미래형자동차과,신천둔치 자전거 교육장 주차장 전기차 충전소 설치, ,"전기차 이용자가 증가하고 있으며, 친환경 자동차 활성화를 위해 주민들의 공용공간인 신천둔치 자전거 교육장 주차장에<br>전기차 충전기 설치를 건의합니다. <br>약 3기정도 설치하면 방문하는 주민들이 편리하게 이용하고 전기차 활성화에도 도움이 될것으로 생각됩니다."
433,보건의료정책과,자동심장충격기 설치요망, ,"1. 문제점<br>     -. 신천, 앞산, 체육시설, 아파트등에 심장충격기가  설치되어 있으나, 부족한 실정이며,<br>    - 신천은 1대, 체육시설에도 한대 또는 무설치로 심장마비시 사망이며, 설치 주변 반경 100m 외에는 무용지물<br><br>2. 개선방안<br>     -. 신천 등에 500m 마다 설치. 앞산 등산로등 설치 (실질적 으로 사용할수있도록  조치)<br>    -. 체육시설 5분안에 조치 할 수있도록 설치요망<br>    -. 신천대로 차가 정체 될 경우  속수무책 (특히 터널과 지하도)<br>    -. 아파트 경비실 1대 정도 있으나, 동마다 설치 필요 ( 고층에서 경비실 도착하면 사망함)<br>    -. 경로당 노인시설, 학교 등 설치 (취약계층)<br> 3.예산<br>    대당가격 : 보관함 포함 230만원  ~  250만원정도"
434,관광과,연암서당골 관광명소 만들기, ,"□ 제안 개요<br> ○ 사업 제안 배경<br>   - 북구청은 산격1동 연암산에 위치한 구암서원을 북구8경 중 제7경으로 선정하고 관광 활성화에 힘을 쓰고 있음. <br>   - 구암서원은 (사)영남선비문화수련원이란 단체에서 향교서원 문화재 활용사업을 모범적으로 운영하고 있어 연간 3만여 명의 체험객이 구암서원을 방문하고 있음.<br>   - 그뿐만 아니라 산격1동은 구도심이 가진 특유의 레트로 감성을 가지고 있으면서, 과거 서당으로 활용했던 400년 역사의 고택이 보존되어 있음. <br>   - 이렇게 관광지로 활용할 수 있는 자원이 있음에도 불구하고 현대인들에게 어필할 수 있는 핵심 콘텐츠가 미흡한 실정임.<br>○ 연암서당골 스토리텔링<br>   - 산격1동에 소재하는 연암산은 예전부터 제비바위(燕巖)가 있었다 하여 붙여진 명칭임.<br>   - 연암산에서 신천으로 내려오는 길에는 서당이 많아서 서당골이라고 불렸으며, 90년대까지도 대구의 택시 기사에게 “서당골 가주세요.”라고 하면 모두가 알아들을 정도였다고 함.<br>   - 좋은 소식을 전해주는 제비와 학업, 시험 등을 연상시키는 서당을 활용하여 “합격”, “취업”, “승진” 등의 스토리텔링을 만들 수 있음.<br>○ 스토리텔링을 활용한 관광 콘텐츠 개발 노력<br>   - 산격1동 주민들은 관광 활성화를 통해 주민 일자리를 만들고자 2021년부터 한국관광공사와 북구청이 추진하는 관광두레 주민사업체로 참여하고 있음. <br>   - 주민사업체는 연암산 지명의 유래이자 좋은 소식을 상징하는 제비와 과거에 급제하면 착용했던 어사화(능소화)를 활용한 기념품을 개발하고 있음.<br>○ 연암서당골 관광 인프라의 부족한 점<br>   - 스토리텔링의 가장 핵심인 제비바위는 문헌에서 확인할 수 있으나, 어떤 이유인지 모르게 현재는 존재하지 않음.<br>   - 관광 콘텐츠가 방문객으로부터 공감을 끌어내기 위해서는 가시적인 상징물이 존재하여야 하며, 그 상징물을 중심으로 “합격”, “취업”, “승진” 등을 기원하는 체험이 동반되어야 함."
435,교통정보서비스센터,대구은행 사거리 부근 중앙분리대 설치, ,신천역에서 대구은행 사거리 부근에 무단으로 횡단하는 사람이 많아 사고의 위험이 높으므로 중앙분리대를 설치해주시기를 부탁드림.
436,버스운영과,시내버스 승강장 개선 및 전자안내전광판설치, ,22. 8월말 경 신천센트럴 자이 입주로 더 많은 주민들이 이용할 것으로 예상되는데 현재 벽산 솔렌스 힐 앞과 건너편 승강장이 의자도 훼손되어 있고 시설이 열악한 상태인데 전반적인 보수와 함께 유개승강장(전자안내전광판 설치 포함)으로 만들어주실 것을 요청함.
437,철도시설과,지하철 에스켈레이터 핸드레일에 자동 살균청소기 설치, ,코로나19로 인해서 각종 전염병에 대해서 항상 위험에 노출되어 있는 게 주민들인데 지하철의 에스켈레이터 핸드레일도 수많은 사람들의 손길이 거쳐가는 곳인데 신천역과 동대구역 등에 자동 살균청소기를 설치해주신다면 도움이 될 것으로 예상.
438,도시디자인과,신천두산위브 뒤편 소공원 바닥벽면 공사 및 벽화 작업, ,신천두산위브 뒤편 소공원의 바닥이 너무 오래되고 낡아 어두운 분위기가 형성되어 있는데 바닥 벽면공사를 통해 공원의 분위기를 일신하고 추가적으로  소공원 입구 바로 옆 쪽인 국채보상로 171길 31-9 벽면에 벽화를 꾸민다면 동 소공원 미관을 개선하는 전환점이 될 수 있을 것으로 기대 추가로 벤치 도색도 함께 요청<br><제안내용><br>1. 바닥벽면 공사<br>2. 벤치도색
439,산림녹지과,낙후된 소공원 경관조명 설치, ,신천두산위브 뒤편 소공원이 전체적으로 어두운 분위기가 형성되어 있어<br>밝은 분위기를 조성하고 보다 많은 주민들이 이용할며 힐링 할 수 있도록 <br>하기 위해 경관 조명 설치를 요청함.
440,산림녹지과,소공원 및 산책길 공지사항 안내를 위한 게시판 설치, ,신천두산위브 뒤편 소공원 쪽의 유동인구가 서서히 증가하고 있으며 동대구역 우방아이유쉘 등 공동주택의 입주로 동부로 15길 철로변 산책길 주민들의 이용수요가 증가할 것으로 예상이 되는데 여기에 게시판을 설치한다면 정보 제공 및 구정 홍보에 많은 효과가 있을 것으로 예상함
441,수변공간개발과,신천둔치(동신교~수성교사이) 소규모 교량설치, ,"ㅇ 문제점<br>  - 현재 동신교와 수성교 사이 신천둔치에 징검다리가 놓여져 있습니다.<br>  - 신천동로쪽에는 인도와 자전거도로 구분이 되어 있지않아 위험하고  인도와 차도가 나란히 되어 있어 자동차소음과 먼지 등으로<br>    운동(걷기, 자전거타기 등)하기 부적합하여 징검다리를 건너 쾌적한 신천둔치를 대부분의 주민들이 이용하고 있습니다.<br>  - 그러나 유모차나 휠체어등은 징검다리를 건널수가 없어 소음과 먼지등에도 어쩔수 없이 위험한 신천동로길을 이용할 수밖에 없는 실정입니다. <br><br>ㅇ 개선방안<br>  - 동신교와 수성교 사이 신천둔치에 소교량를 설치하여 유모차나 휠체어도 신천대로 둔치를 자유롭게 이용할 수 있었으면 좋겠습니다.<br>  - 교량위치 : 신천동로측 횡단보도 신호등 있는 부근에서 건너편 <br><br> * 참고로 희망교와 중동교 사이에는 신천동로와 신천대로 둔치간 소규모 교량이 설치되어 있습니다."
442,자치행정과,파동 중간지점에 이동고가교 나무데크 설치, ,"1. 파동 신천 건너편에 주민들의 이용이 많은 산책로 및 용두골 , 사찰(법왕사, 장암사)이 있음<br><br>2. 신천을 건너가는 방법은 중간에 징검다리를 이용하여야 함<br>    또는 파동 끝으로 이동하여 가창교, 용두교를 이용하는 방법이 있음<br><br>3. 비가 조금이라도 오면 징검다리가 잠겨서 끝까지 이동하여 건너가야 하는 불편이 있음<br><br>4. 파동 중간 지점(파동로 159)에 고가교를 설치하여 주민들의 불편해소 및 이동편의성이 확보가 됨<br><br>5. 주변경관과 어울리고 자연친화적으로 나무데크를 이용한 이동고가교를 설치하면  도시미관과도<br>     잘 어울리고 주민들의 이동 편의성 확보에 많은 도움이 될 것임"
443,수변공간개발과,신천둔치 벤치 햇빛 차단막 설치, ,문제점: 신천변을 따라 산책로 및 자전거 통행로가 조성되어 있어 다수의 주민들이 이용하고 있으나 현재 설치된 벤치 전부가 햇볕에 그대로 노출되어 있음<br><br>제안: 벤치 10개소 정도에 햇빛차단막 설치<br><br>기대효과: 주민 휴식 공간으로 햇볓을 차단하고 갑작스러운 소나기를 대피하는 유용한 공간 활용
444,수변공간개발과,신천 다리밑 벌레 퇴치!, ,신천 산책 시 날파리 등 벌레가 너무 많음.<br>3개의 다리 근처에 벌레퇴치기 설치 바랍니다.<br>잠시 쉴때 쾌적한 휴식 공간이 필요합니다.
445,사회재난과,생활안전 CCTV 설치, ,"중앙대로123길 구간은 어린이보호구역 CCTV만 설치되어있고, 방범용 CCTV는 설치되어 있지 않아<br>인근 주민들의 산책로 이용이나 신천으로 이어지는 보행자용 터널 이용에 불안감이 있음<br>생활안전 CCTV를 설치하여 안전한 주거환경을 조성하였으면 함"
446,시설안전관리사업소 하천관리과,신천둔치 진입 인도 설치, ,"신천둔치를 이용하는 주민이 늘어나고 있지만 보행자를 위한 진입로는 아직 제대로 정비되지 않은 곳이 많음.<br>도청교 및 경대교 주변에 기존에 있던 진입로를 좀 더 안전하게 정비하여 신천둔치 이용 접근성을 높여야 함.<br>- 비포장길은 보도블럭이나 데크계단 설치, 경사로 각도 조정<br>- 도청교 및 경대교 인도에서 신천 둔치 진입로까지 이어지도록 인도 확보<br>- 울타리 설치 등"
447,자치행정과,지압 조약돌 설치, ,신천둔치에 수성교와 대봉교 사이에는 조약돌들로 지압을 할 수 있는 구간이 있는 것으로 알고 있는데 희망교에서 상동교 사이에는 그러한 구간이 존재하지 않습니다.<br>중동교쯤 그러한 구간이 생긴다면 좋을 것 같습니다.
448,시설안전관리사업소 하천관리과,칠성동 신천 잠수교 출입문 및 난간 교체, ,"잠수교를 통해서 칠성동과 대현동 주민들이 도보로 신천을 많이 건너고 있습니다.<br>장마철이나 폭우시 신천 물이 범람할 때에는 잠수교를 잠가서 <br>주민들의 통행을 금지하고 있는데,<br>주민들이 출입문과 다리 사이의 틈으로 빠져나와서 폭우시에도 다리를 건너고,<br>난간도 튼튼하지 않아서 자칫하다가는 신천에 빠질 수도 있는 상황입니다.<br><br>출입문과 다리 사이의 틈을 없애고, 출입문과 난간을 튼튼한 재질로 교체하여<br>주민의 안전에 도움을 줬으면 합니다."
449,수변공간개발과,신천둔치 환경정비, ,"신천둔치를 이용하는 주민들이 갈수록 많아지는 만큼 신천둔치 환경정비사업이 필요함.<br>- 도청교, 경대교 등 교각시설을 정비하여 조명설치 등을 통해 경관을 개선<br>- 신천둔치로 진입하는 도로, 인도 등 보행환경 재정비<br>- 야간 조명시설 재정비"
450,시설안전관리사업소 하천관리과,중동교 아래 지하통로 개설, ,"봉덕동 영무예다음, 동원비스타, 서한이다음, 봉덕래미안 등 신규아파트 입주 등으로 신천이용객 증가.<br>중동교 남편 신천대로 지하통로 개설로 봉덕동 주민 삶의 질 향상, 교통사고 예방, 편리성 증가로 주민복지 향상 이바지"
451,감염병관리과,꽃보라동산 해충 퇴치기 설치, ,산격동 꽃보라동산은 옆에 신천이 흐르고 있어 여름철 해충이 많습니다.<br>해충퇴치기를 설치하면 산책하는 주민 및 꽃보라동산을 찾아오는 관광객들의 이용이 편리할 것 같습니다.
452,자치행정과,명칭 만들어주세요, ,용두길 21옆 고산골에서 순환도로로 빠지는 길(굴다리)<br>이 길을 설명하기가 어정쩡해서 명칭이 있으면 좋겠습니다.<br>예를들면 공룡세식구 이름을 따서(공룡마을이니까!)<br><br>신천으로 산책을 가는 사람들이 자주 지나다니는데 쉽게 부를 수 있는 명칭이 있으면 지역에 대한 애착도 들고 좋을 것 같습니다.
453,자치행정과,신천강변 반려견 쉼터 및 카페, ,반려견 및 반려묘가 대중화되었고 많은 상황에도 불구하고 견주와 함께 산책 및 운동을 하고 휴식을 할 수 있는 공간이 너무 부족한 상태. 신천강변에서라도 견주와 반려견 또는 반려묘가 산책 후 함께 편히 뛰어 놀고 휴식할 수 있는 공간을 만들면 좋겠음.
454,공원조성과,신천두산위브 뒤편 소공원 바닥벽면 공사 및 벽화 작업 요청, ,신천두산위브 뒤편 소공원의 바닥이 너무 오래되고 낡아 어두운 분위기가 형성되어 있는데 바닥 벽면공사를 통해 공원의 분위기를 일신하고 추가적으로  소공원 입구 바로 옆 쪽인 국채보상로 171길 31-9 벽면에 벽화를 꾸민다면 동 소공원 미관을 개선하는 전환점이 될 수 있을 것으로 기대
455,공원조성과,신천두산위브 뒤편 소공원 경관조명 설치 요청, ,신천두산위브 뒤편 소공원이 전체적으로 어두운 분위기가 형성되어 있어 밝은 분위기를 조성하고 보다 많은 주민들이 이용할며 힐링 할 수 있도록 <br>하기 위해 경관 조명 설치를 요청함.
456,도시디자인과,신천두산위브 뒤편 소공원 및 동부로15길 철로변 산책길 게시판 설치 요청, ,신천두산위브 뒤편 소공원 쪽의 유동인구가 서서히 증가하고 있으며 동대구역 우방아이유쉘 등 공동주택의 입주로 동부로 15길 철로변 산책길 주민들의 이용수요가 증가할 것으로 예상이 되는데 여기에 게시판을 설치한다면 정보 제공 및 구정 홍보에 많은 효과가 있을 것으로 예상함
